輸入原始資料檔案: iris.arff
第66筆資料 距離平方為75.82
第67筆資料 距離平方為62.86
第68筆資料 距離平方為58.74
第69筆資料 距離平方為65.78
第70筆資料 距離平方為54.03
第71筆資料 距離平方為71.33
第72筆資料 距離平方為62.74
第73筆資料 距離平方為72.2
第74筆資料 距離平方為68.58
第75筆資料 距離平方為69.55
第76筆資料 距離平方為73.88
第77筆資料 距離平方為79.08
第78筆資料 距離平方為81.78
第79筆資料 距離平方為66.91
第80筆資料 距離平方為52.5
第81筆資料 距離平方為51.66
第82筆資料 距離平方為50.7
第83筆資料 距離平方為57.58
第84筆資料 距離平方為71.86
第85筆資料 距離平方為60.66
第86筆資料 距離平方為70.37
第87筆資料 距離平方為78.84
第88筆資料 距離平方為66.03
第89筆資料 距離平方為58.86
第90筆資料 距離平方為54.19
第91筆資料 距離平方為57.81
第92筆資料 距離平方為69.33
第93筆資料 距離平方為57.84
第94筆資料 距離平方為42.18
第95筆資料 距離平方為57.98
第96筆資料 距離平方為60.57
第97筆資料 距離平方為60.23
第98筆資料 距離平方為67.03
第99筆資料 距離平方為42.47
第100筆資料 距離平方為58.83
第101筆資料 距離平方為92.83
第102筆資料 距離平方為70.55
第103筆資料 距離平方為98.63
第104筆資料 距離平方為82.7
第105筆資料 距離平方為89.73
第106筆資料 距離平方為114.73
第107筆資料 距離平方為53.4
第108筆資料 距離平方為104.63
第109筆資料 距離平方為88.02
第110筆資料 距離平方為108.26
第111筆資料 距離平方為82.5
第112筆資料 距離平方為79.95
第113筆資料 距離平方為89.9
第114筆資料 距離平方為67.74
第115筆資料 距離平方為73.25
第116筆資料 距離平方為84.58
第117筆資料 距離平方為84.74
第118筆資料 距離平方為123.46
第119筆資料 距離平方為118.95
第120筆資料 距離平方為68.09
第121筆資料 距離平方為95.63
第122筆資料 距離平方為67.21
第123筆資料 距離平方為116.02
第124筆資料 距離平方為74.23
第125筆資料 距離平方為92.68
第126筆資料 距離平方為101.32
第127筆資料 距離平方為72.56
第128筆資料 距離平方為73.46
第129筆資料 距離平方為84.57
第130筆資料 距離平方為97.04
第131筆資料 距離平方為103.42
第132筆資料 距離平方為121.81
第133筆資料 距離平方為85.0
第134筆資料 距離平方為75.79
第135筆資料 距離平方為77.29
第136筆資料 距離平方為110.79
第137筆資料 距離平方為88.37
第138筆資料 距離平方為84.06
第139筆資料 距離平方為71.28
第140筆資料 距離平方為90.79
第141筆資料 距離平方為91.62
第142筆資料 距離平方為88.52
第143筆資料 距離平方為70.55
第144筆資料 距離平方為96.58
第145筆資料 距離平方為94.52
第146筆資料 距離平方為86.22
第147筆資料 距離平方為74.55
第148筆資料 距離平方為82.29
第149筆資料 距離平方為84.45
第150筆資料 距離平方為73.06

分群數: 3
*****分群結果如下*****
第1個Cluster 總共有50筆資料
值心為: (5.006,3.418,1.464,0.244)
第1筆資料(5.1,3.5,1.4,0.2)
第2筆資料(4.9,3.0,1.4,0.2)
第3筆資料(4.7,3.2,1.3,0.2)
第4筆資料(4.6,3.1,1.5,0.2)
第5筆資料(5.0,3.6,1.4,0.2)
第6筆資料(5.4,3.9,1.7,0.4)
第7筆資料(4.6,3.4,1.4,0.3)
第8筆資料(5.0,3.4,1.5,0.2)
第9筆資料(4.4,2.9,1.4,0.2)
第10筆資料(4.9,3.1,1.5,0.1)
第11筆資料(5.4,3.7,1.5,0.2)
第12筆資料(4.8,3.4,1.6,0.2)
第13筆資料(4.8,3.0,1.4,0.1)
第14筆資料(4.3,3.0,1.1,0.1)
第15筆資料(5.8,4.0,1.2,0.2)
第16筆資料(5.7,4.4,1.5,0.4)
第17筆資料(5.4,3.9,1.3,0.4)
第18筆資料(5.1,3.5,1.4,0.3)
第19筆資料(5.7,3.8,1.7,0.3)
第20筆資料(5.1,3.8,1.5,0.3)
第21筆資料(5.4,3.4,1.7,0.2)
第22筆資料(5.1,3.7,1.5,0.4)
第23筆資料(4.6,3.6,1.0,0.2)
第24筆資料(5.1,3.3,1.7,0.5)
第25筆資料(4.8,3.4,1.9,0.2)
第26筆資料(5.0,3.0,1.6,0.2)
第27筆資料(5.0,3.4,1.6,0.4)
第28筆資料(5.2,3.5,1.5,0.2)
第29筆資料(5.2,3.4,1.4,0.2)
第30筆資料(4.7,3.2,1.6,0.2)
第31筆資料(4.8,3.1,1.6,0.2)
第32筆資料(5.4,3.4,1.5,0.4)
第33筆資料(5.2,4.1,1.5,0.1)
第34筆資料(5.5,4.2,1.4,0.2)
第35筆資料(4.9,3.1,1.5,0.1)
第36筆資料(5.0,3.2,1.2,0.2)
第37筆資料(5.5,3.5,1.3,0.2)
第38筆資料(4.9,3.1,1.5,0.1)
第39筆資料(4.4,3.0,1.3,0.2)
第40筆資料(5.1,3.4,1.5,0.2)
第41筆資料(5.0,3.5,1.3,0.3)
第42筆資料(4.5,2.3,1.3,0.3)
第43筆資料(4.4,3.2,1.3,0.2)
第44筆資料(5.0,3.5,1.6,0.6)
第45筆資料(5.1,3.8,1.9,0.4)
第46筆資料(4.8,3.0,1.4,0.3)
第47筆資料(5.1,3.8,1.6,0.2)
第48筆資料(4.6,3.2,1.4,0.2)
第49筆資料(5.3,3.7,1.5,0.2)
第50筆資料(5.0,3.3,1.4,0.2)
<==========================>
第2個Cluster 總共有38筆資料
值心為: (6.85,3.0736842,5.7421055,2.0710526)
第53筆資料(6.9,3.1,4.9,1.5)
第78筆資料(6.7,3.0,5.0,1.7)
第101筆資料(6.3,3.3,6.0,2.5)
第103筆資料(7.1,3.0,5.9,2.1)
第104筆資料(6.3,2.9,5.6,1.8)
第105筆資料(6.5,3.0,5.8,2.2)
第106筆資料(7.6,3.0,6.6,2.1)
第108筆資料(7.3,2.9,6.3,1.8)
第109筆資料(6.7,2.5,5.8,1.8)
第110筆資料(7.2,3.6,6.1,2.5)
第111筆資料(6.5,3.2,5.1,2.0)
第112筆資料(6.4,2.7,5.3,1.9)
第113筆資料(6.8,3.0,5.5,2.1)
第116筆資料(6.4,3.2,5.3,2.3)
第117筆資料(6.5,3.0,5.5,1.8)
第118筆資料(7.7,3.8,6.7,2.2)
第119筆資料(7.7,2.6,6.9,2.3)
第121筆資料(6.9,3.2,5.7,2.3)
第123筆資料(7.7,2.8,6.7,2.0)
第125筆資料(6.7,3.3,5.7,2.1)
第126筆資料(7.2,3.2,6.0,1.8)
第129筆資料(6.4,2.8,5.6,2.1)
第130筆資料(7.2,3.0,5.8,1.6)
第131筆資料(7.4,2.8,6.1,1.9)
第132筆資料(7.9,3.8,6.4,2.0)
第133筆資料(6.4,2.8,5.6,2.2)
第135筆資料(6.1,2.6,5.6,1.4)
第136筆資料(7.7,3.0,6.1,2.3)
第137筆資料(6.3,3.4,5.6,2.4)
第138筆資料(6.4,3.1,5.5,1.8)
第140筆資料(6.9,3.1,5.4,2.1)
第141筆資料(6.7,3.1,5.6,2.4)
第142筆資料(6.9,3.1,5.1,2.3)
第144筆資料(6.8,3.2,5.9,2.3)
第145筆資料(6.7,3.3,5.7,2.5)
第146筆資料(6.7,3.0,5.2,2.3)
第148筆資料(6.5,3.0,5.2,2.0)
第149筆資料(6.2,3.4,5.4,2.3)
<==========================>
第3個Cluster 總共有62筆資料
值心為: (5.9016128,2.748387,4.3935485,1.4338709)
第51筆資料(7.0,3.2,4.7,1.4)
第52筆資料(6.4,3.2,4.5,1.5)
第54筆資料(5.5,2.3,4.0,1.3)
第55筆資料(6.5,2.8,4.6,1.5)
第56筆資料(5.7,2.8,4.5,1.3)
第57筆資料(6.3,3.3,4.7,1.6)
第58筆資料(4.9,2.4,3.3,1.0)
第59筆資料(6.6,2.9,4.6,1.3)
第60筆資料(5.2,2.7,3.9,1.4)
第61筆資料(5.0,2.0,3.5,1.0)
第62筆資料(5.9,3.0,4.2,1.5)
第63筆資料(6.0,2.2,4.0,1.0)
第64筆資料(6.1,2.9,4.7,1.4)
第65筆資料(5.6,2.9,3.6,1.3)
第66筆資料(6.7,3.1,4.4,1.4)
第67筆資料(5.6,3.0,4.5,1.5)
第68筆資料(5.8,2.7,4.1,1.0)
第69筆資料(6.2,2.2,4.5,1.5)
第70筆資料(5.6,2.5,3.9,1.1)
第71筆資料(5.9,3.2,4.8,1.8)
第72筆資料(6.1,2.8,4.0,1.3)
第73筆資料(6.3,2.5,4.9,1.5)
第74筆資料(6.1,2.8,4.7,1.2)
第75筆資料(6.4,2.9,4.3,1.3)
第76筆資料(6.6,3.0,4.4,1.4)
第77筆資料(6.8,2.8,4.8,1.4)
第79筆資料(6.0,2.9,4.5,1.5)
第80筆資料(5.7,2.6,3.5,1.0)
第81筆資料(5.5,2.4,3.8,1.1)
第82筆資料(5.5,2.4,3.7,1.0)
第83筆資料(5.8,2.7,3.9,1.2)
第84筆資料(6.0,2.7,5.1,1.6)
第85筆資料(5.4,3.0,4.5,1.5)
第86筆資料(6.0,3.4,4.5,1.6)
第87筆資料(6.7,3.1,4.7,1.5)
第88筆資料(6.3,2.3,4.4,1.3)
第89筆資料(5.6,3.0,4.1,1.3)
第90筆資料(5.5,2.5,4.0,1.3)
第91筆資料(5.5,2.6,4.4,1.2)
第92筆資料(6.1,3.0,4.6,1.4)
第93筆資料(5.8,2.6,4.0,1.2)
第94筆資料(5.0,2.3,3.3,1.0)
第95筆資料(5.6,2.7,4.2,1.3)
第96筆資料(5.7,3.0,4.2,1.2)
第97筆資料(5.7,2.9,4.2,1.3)
第98筆資料(6.2,2.9,4.3,1.3)
第99筆資料(5.1,2.5,3.0,1.1)
第100筆資料(5.7,2.8,4.1,1.3)
第102筆資料(5.8,2.7,5.1,1.9)
第107筆資料(4.9,2.5,4.5,1.7)
第114筆資料(5.7,2.5,5.0,2.0)
第115筆資料(5.8,2.8,5.1,2.4)
第120筆資料(6.0,2.2,5.0,1.5)
第122筆資料(5.6,2.8,4.9,2.0)
第124筆資料(6.3,2.7,4.9,1.8)
第127筆資料(6.2,2.8,4.8,1.8)
第128筆資料(6.1,3.0,4.9,1.8)
第134筆資料(6.3,2.8,5.1,1.5)
第139筆資料(6.0,3.0,4.8,1.8)
第143筆資料(5.8,2.7,5.1,1.9)
第147筆資料(6.3,2.5,5.0,1.9)
第150筆資料(5.9,3.0,5.1,1.8)
<==========================>
